,Accumulation (mm),Bucket content (mm),amount NRT (mm),amountRT
2019-04-24 17:50:15,3.37,2057.1,3.36,9.03
2019-04-24 17:51:00,3.37,2058.21,0.0,0.45
2019-04-24 17:52:00,3.37,2059.17,0.0,1.42
2019-04-24 17:53:00,3.37,2056.79,0.0,0.13
2019-04-24 17:54:00,3.37,2057.41,0.0,0.12
2019-04-24 17:55:00,3.37,2057.93,0.0,0.71
2019-04-24 17:56:00,3.37,2057.46,0.0,0.03
2019-04-24 17:57:00,3.37,2057.58,0.0,0.01
2019-04-24 17:58:00,3.97,2058.28,0.61,0.38
2019-04-24 17:59:00,3.97,2060.01,0.0,1.26
2019-04-24 18:00:00,3.97,2060.01,0.0,1.03
2019-04-24 18:01:00,3.97,2059.19,0.0,0.03
2019-04-24 18:02:00,3.97,2059.04,0.0,0.0
2019-04-24 18:03:00,3.97,2058.83,0.0,0.0
2019-04-24 18:04:00,3.97,2058.71,0.0,0.0
2019-04-24 18:05:00,3.97,2058.89,0.0,0.06
2019-04-24 18:06:00,3.97,2059.8,0.0,0.44
2019-04-24 18:07:00,3.97,2060.69,0.0,1.07
2019-04-24 18:08:00,3.97,2061.65,0.0,0.65
2019-04-24 18:09:00,3.97,2062.78,0.0,1.49
2019-04-24 18:10:00,4.39,2062.38,0.42,0.39
2019-04-24 18:11:00,5.32,2062.62,0.93,0.0
2019-04-24 18:12:00,5.78,2063.37,0.45,0.51
2019-04-24 18:13:00,7.25,2063.99,1.47,0.78
2019-04-24 18:14:00,7.67,2063.97,0.42,0.38
2019-04-24 18:15:00,7.67,2063.79,0.0,0.0
2019-04-24 18:16:00,7.67,2063.46,0.0,0.0
2019-04-24 18:17:00,7.67,2062.48,0.0,0.0
2019-04-24 18:18:00,7.67,2062.17,0.0,0.0
2019-04-24 18:19:00,7.67,2061.38,0.0,0.0
2019-04-24 18:20:00,7.67,2060.74,0.0,0.0
2019-04-24 18:21:00,7.67,2060.15,0.0,0.0
2019-04-24 18:22:00,7.67,2060.15,0.0,0.01
2019-04-24 18:23:00,7.67,2062.24,0.0,1.25
2019-04-24 18:24:00,7.67,2064.62,0.0,2.03
2019-04-24 18:25:00,7.67,2065.35,0.0,2.24
2019-04-24 18:26:00,7.67,2063.62,0.0,0.42
2019-04-24 18:27:00,8.93,2063.34,1.27,0.0
2019-04-24 18:28:00,10.45,2065.7,1.52,1.14
2019-04-24 18:29:00,11.9,2067.21,1.44,1.92
2019-04-24 18:30:00,12.17,2067.99,0.27,0.56
2019-04-24 18:31:00,12.56,2068.29,0.39,0.74
2019-04-24 18:32:00,12.94,2068.66,0.38,0.4
2019-04-24 18:33:00,13.99,2068.72,1.06,0.17
2019-04-24 18:34:00,14.52,2068.5,0.53,0.0
2019-04-24 18:35:00,14.99,2068.11,0.47,0.0
2019-04-24 18:36:00,14.99,2067.69,0.0,0.0
2019-04-24 18:37:00,14.99,2067.48,0.0,0.0
2019-04-24 18:38:00,14.99,2067.02,0.0,0.0
2019-04-24 18:39:00,14.99,2065.72,0.0,0.0
2019-04-24 18:40:00,14.99,2065.35,0.0,0.0
2019-04-24 18:41:00,14.99,2064.82,0.0,0.0
2019-04-24 18:42:00,14.99,2064.48,0.0,0.0
2019-04-24 18:43:00,14.99,2064.1,0.0,0.0
2019-04-24 18:44:00,14.99,2063.8,0.0,0.0
2019-04-24 18:45:00,14.99,2063.63,0.0,0.0
2019-04-24 18:46:00,14.99,2063.79,0.0,0.02
2019-04-24 18:47:00,14.99,2064.51,0.0,0.46
2019-04-24 18:48:00,14.99,2065.69,0.0,0.95
2019-04-24 18:49:00,14.99,2067.09,0.0,1.38
