Date,T Fortress,RH Fortress,Ws Fortress,Wd Fortress,T junction,RH junction,Ws Junction,Wd Junction,T Nipika,RH Nipika,Ws Nipika,Wd Nipika
2019-04-24 0:00,3.221666666666667,46.843333333333334,2.9913888889166658,278.5,nan,nan,nan,nan,11.905833333333334,41.23916666666666,0.0,85.4375
2019-04-24 1:00,2.6483333333333334,49.678333333333335,4.009444444416666,217.16666666666666,nan,nan,nan,nan,10.869166666666667,43.635,0.0,122.20000000000002
2019-04-24 2:00,1.5083333333333335,54.74666666666665,4.19277777775,248.16666666666666,nan,nan,nan,nan,7.845833333333331,58.945,0.004,89.60925
2019-04-24 3:00,1.711666666666667,45.77333333333334,6.039999999999999,227.16666666666666,nan,nan,nan,nan,4.830166666666666,73.39166666666667,0.00775,195.4775
2019-04-24 4:00,1.7083333333333337,43.48333333333333,5.427222222166666,234.08333333333334,nan,nan,nan,nan,2.05125,84.73333333333333,0.0015,114.38525
2019-04-24 5:00,1.235,46.29333333333333,4.544444444583333,209.33333333333334,nan,nan,nan,nan,1.2604999999999997,88.66666666666667,0.00425,92.03999999999999
2019-04-24 6:00,0.8016666666666666,47.66666666666666,1.7858333332500003,170.58333333333334,nan,nan,nan,nan,-0.30616666666666664,94.89166666666667,0.0,54.3975
2019-04-24 7:00,-0.14125000000000001,52.778333333333336,1.2130555556666665,172.83333333333334,nan,nan,nan,nan,-2.0888333333333335,98.375,0.037000000000000005,187.93675000000002
2019-04-24 8:00,-0.17999999999999997,52.59166666666666,1.3636111110833333,244.83333333333334,nan,nan,nan,nan,-2.1288333333333336,97.80833333333332,0.077,164.72249999999997
2019-04-24 9:00,-0.2183333333333333,51.52833333333333,2.111666666666667,271.8333333333333,nan,nan,nan,nan,-2.6070833333333336,97.7,0.2845,217.59750000000003
2019-04-24 10:00,-0.3066666666666667,49.208333333333336,2.0605555555,215.5,nan,nan,nan,nan,-2.6111666666666666,96.94999999999999,0.6537499999999999,160.41500000000002
2019-04-24 11:00,-0.36333333333333334,49.096666666666664,1.7719444443333334,225.5,nan,nan,nan,nan,-3.3844999999999996,97.81666666666666,0.78075,274.35
2019-04-24 12:00,-1.3116666666666665,56.315000000000005,0.7936111111666667,166.41666666666666,nan,nan,nan,nan,-3.640833333333333,98.44166666666666,0.97725,209.3725
2019-04-24 13:00,-0.8183333333333335,55.09833333333335,0.9058333334166666,178.91666666666666,nan,nan,nan,nan,-2.4366666666666665,96.2,1.0002499999999999,288.04999999999995
2019-04-24 14:00,-0.6266666666666666,57.70666666666668,1.29111111125,187.83333333333334,nan,nan,nan,nan,0.031999999999999994,85.89666666666666,1.2867499999999998,250.225
2019-04-24 15:00,-1.3199999999999998,78.74666666666667,2.0577777777499997,165.58333333333334,nan,nan,nan,nan,3.4438333333333335,71.74583333333334,1.46475,166.99
2019-04-24 16:00,-0.4366666666666666,71.84166666666667,2.2183333333333333,177.25,nan,nan,nan,nan,6.2870833333333325,61.294999999999995,1.183,313.225
2019-04-24 17:00,-0.41,69.61333333333333,2.10777777775,244.83333333333334,7.03,36.37,1.57,237.5,8.446000000000002,52.82750000000001,1.46,303.925
2019-04-24 18:00,0.13333333333333333,61.531666666666666,3.3388888888333335,217.58333333333334,6.094166666666667,43.18375,2.3433333333333333,187.16666666666666,10.899166666666666,38.24166666666667,1.16325,294.675
2019-04-24 19:00,0.7970833333333333,52.546666666666674,4.77333333325,273.0833333333333,7.401666666666667,35.559999999999995,2.6666666666666665,203.0,11.012500000000001,31.894999999999992,0.8067500000000001,222.4325
2019-04-24 20:00,0.6016666666666667,53.91833333333333,3.2272222222500004,225.41666666666666,7.294999999999999,33.446666666666665,2.2933333333333334,154.08333333333334,11.900833333333333,29.313333333333333,0.11375000000000002,185.68
2019-04-24 21:00,1.3716666666666668,46.27,3.5011111112500006,181.75,7.503333333333334,30.405,2.736666666666667,102.41666666666667,11.555833333333332,26.760833333333334,0.07350000000000001,143.7
2019-04-24 22:00,1.8499999999999996,40.803333333333335,2.6275,220.0,6.9816666666666665,30.408333333333342,2.2783333333333333,165.0,12.034166666666666,23.922500000000003,0.0,196.5225
2019-04-24 23:00,1.4066666666666665,38.86166666666666,3.2824999999166664,224.25,6.873333333333334,29.17,2.6383333333333336,139.58333333333334,12.228333333333333,21.845,0.0,44.2685
2019-04-25 0:00,1.7933333333333332,34.01333333333333,2.2258333331666664,139.5,6.3075,25.95875,2.545,151.08333333333334,11.881666666666668,20.595833333333335,0.0,203.115
2019-04-25 1:00,0.9116666666666666,32.05833333333333,2.49722222225,188.41666666666666,5.319999999999999,25.713333333333335,1.7350000000000003,133.91666666666666,9.934,24.876666666666665,0.0,92.045
2019-04-25 2:00,-0.17166666666666666,32.01500000000001,2.204166666666667,237.41666666666666,3.9083333333333337,27.5,1.25,178.16666666666666,6.030333333333334,37.94416666666667,0.00375,114.925
2019-04-25 3:00,-0.7733333333333334,33.655,1.490833333416667,228.25,1.26,36.00666666666666,1.04,126.33333333333333,1.68775,56.65749999999999,0.0,237.29999999999998
2019-04-25 4:00,-1.711666666666667,37.14333333333334,1.0019444444166667,140.08333333333334,-0.26166666666666666,41.858333333333334,0.8966666666666668,134.58333333333334,-0.7281666666666666,68.93666666666665,0.0095,171.83999999999997
2019-04-25 5:00,-2.0966666666666662,38.568333333333335,1.7138888889166666,196.66666666666666,-1.6900000000000002,47.841666666666676,0.875,132.58333333333334,-2.153833333333333,76.77833333333335,0.0,181.61
