,CR1000X,3875,CR1000X.Std.02.00,CPU:NipikaV2.CR1X,54039,Table1,,,,,,,,,,,
TIMESTAMP,BattV_Avg,BP_hPa_Avg,AirTC_Avg,AirTC_Std,RH,T109_C_1_Avg,T109_C_2_Avg,T109_C_3_Avg,WS_ms_Avg,WS_ms_Std,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,DT_W_Avg,TCDT_W_Avg,DBTCDT_W
UTC,Volts,hPa,Deg C,Deg C,%,Deg C,Deg C,Deg C,meters/second,meters/second,degrees,meters/second,Deg,Deg,cm,cm,cm
,Avg,Avg,Avg,Std,Smp,Avg,Avg,Avg,Avg,Std,Smp,WVc,WVc,WVc,Avg,Avg,Smp
2018-09-21 22:45,14.16,892.1404,10.45,0.016,78.1,9.86,10.51,10.12,0.587,0.16,191.8,0.587,189.3,24.27,212.3,216.4,-4.573
2018-09-21 23:00,14.16,892.13,10.58,0.06,77.32,9.89,10.69,10.32,0.9,0.351,187.1,0.9,193.9,28.4,212.3,216.4,-4.719
2018-09-21 23:15,14.17,891.9855,10.66,0.039,76.98,9.94,10.85,10.56,0.853,0.455,210.1,0.853,189.1,25.43,212.2,216.3,-4.432
2018-09-21 23:30,14.17,891.9855,10.68,0.023,76.22,9.98,10.86,10.63,0.712,0.396,190,0.712,204.9,29.9,212.1,216.2,-4.495
2018-09-21 23:45,13.91,891.9855,10.67,0.03,75.78,10.02,10.72,10.62,0.373,0.22,177.5,0.373,193.3,24.65,212.3,216.4,-4.63
2018-09-22 0:00,13.5,891.9699,10.6,0.015,76.21,10.06,10.54,10.46,0.334,0.352,238,0.334,193.4,30.93,212.3,216.4,-4.644
2018-09-22 0:15,13.39,891.7513,10.6,0.019,77.24,10.1,10.38,10.35,0.027,0.053,178.6,0.027,306,60.38,212.3,216.4,-4.487
2018-09-22 0:30,13.36,891.7513,10.45,0.061,80.6,10.14,10.08,9.98,0.019,0.044,133.6,0.019,191.4,18.09,212.3,216.4,-4.664
2018-09-22 0:45,13.32,891.7513,10.12,0.111,85.6,10.17,9.5,9.42,0.033,0.076,275,0.033,104.6,14.65,212,215.9,-3.864
2018-09-22 1:00,13.24,891.7119,9.74,0.087,90.3,10.2,9.25,9.17,0,0,275.2,0,0,0,211.9,215.6,-3.859
2018-09-22 1:15,13.19,891.1594,9.44,0.084,93.7,10.22,8.99,8.91,0,0,275.3,0,0,0,212.2,215.8,-3.815
2018-09-22 1:30,13.17,891.1594,9.1,0.092,95,10.24,8.59,8.55,0,0,275.2,0,0,0,211.9,215.4,-4.079
2018-09-22 1:45,13.15,891.1594,8.86,0.081,96.5,10.26,8.36,8.33,0,0,275.3,0,0,0,212.3,215.7,-3.68
2018-09-22 2:00,13.13,891.1436,8.66,0.031,96.8,10.28,8.2,8.18,0.002,0.008,56.42,0.002,56.51,0,212.4,215.7,-3.849
2018-09-22 2:15,13.12,890.9221,8.49,0.057,97.9,10.29,8.04,8.02,0,0,56.43,0,0,0,212.4,215.7,-4.319
2018-09-22 2:30,13.12,890.9221,8.38,0.016,98.2,10.3,8.01,8.02,0.064,0.157,23.46,0.064,26.79,2.129,212.2,215.4,-3.383
2018-09-22 2:45,13.12,890.9221,8.34,0.027,98.5,10.3,8,7.994,0,0,23.13,0,0,0,212.1,215.3,-4.009
2018-09-22 3:00,13.1,890.9096,8.25,0.02,98.6,10.3,7.995,7.971,0,0,297,0,0,0,212.1,215.3,-3.436
2018-09-22 3:15,13.09,890.7352,8.2,0.039,98.6,10.3,7.874,7.866,0,0,316.7,0,0,0,212,215.2,-3.433
2018-09-22 3:30,13.1,890.7352,8.08,0.033,98.8,10.3,7.724,7.721,0,0,317.1,0,0,0,212.1,215.2,-3.419
2018-09-22 3:45,13.09,890.7352,7.976,0.04,99,10.29,7.646,7.64,0,0,316.7,0,0,0,212.1,215.2,-3.378
2018-09-22 4:00,13.08,890.6885,7.879,0.019,99.2,10.28,7.599,7.591,0,0,40.86,0,0,0,212,215,-3.125
2018-09-22 4:15,13.07,890.0361,7.841,0.019,99.3,10.27,7.519,7.511,0,0,40.89,0,0,0,211.9,214.9,-3.375
2018-09-22 4:30,13.08,890.0361,7.824,0.024,99.4,10.26,7.495,7.497,0.048,0.079,325.6,0.048,9.63,23.28,212.1,215.1,-3.147
2018-09-22 4:45,13.08,890.0361,7.817,0.025,99.5,10.25,7.537,7.537,0.09,0.155,43.21,0.09,66.46,13.58,212,215,-3.138
2018-09-22 5:00,13.06,889.9916,7.708,0.053,99.4,10.24,7.339,7.346,0.01,0.031,211.9,0.01,216.5,1.668,211.9,214.9,-3.087
2018-09-22 5:15,13.05,889.3693,7.605,0.036,99.5,10.22,7.252,7.261,0.064,0.141,326.5,0.064,50.02,34.76,212,214.9,-3.112
2018-09-22 5:30,13.06,889.3693,7.59,0.035,99.7,10.21,7.182,7.206,0.034,0.055,33.87,0.034,30.33,5.083,211.9,214.9,-3.041
2018-09-22 5:45,13.06,889.3693,7.517,0.045,99.6,10.19,7.063,7.083,0.001,0.005,32.92,0.001,32.92,0,212,214.9,-3.071
2018-09-22 6:00,13.05,889.3176,7.471,0.034,99.6,10.17,7.104,7.122,0.07,0.135,163.6,0.07,48.78,27.88,212,214.9,-3.101
2018-09-22 6:15,13.04,888.5939,7.405,0.021,99.7,10.16,7.071,7.07,0,0,163.7,0,0,0,212.1,215,-3.321
2018-09-22 6:30,13.05,888.5939,7.481,0.101,99.7,10.14,7.149,7.172,0.181,0.296,314.4,0.181,33.31,48.69,212.1,214.9,-3.12
2018-09-22 6:45,13.05,888.5939,7.529,0.028,99.7,10.12,7.281,7.283,0.044,0.08,36.94,0.044,136.6,44.45,212.1,215,-3.161
2018-09-22 7:00,13.04,888.5673,7.49,0.016,99.7,10.1,7.257,7.241,0,0,37.04,0,0,0,212.2,215.1,-3.454
2018-09-22 7:15,13.03,888.1946,7.508,0.016,99.8,10.09,7.293,7.284,0.038,0.07,346.3,0.038,288.5,21.7,212.3,215.2,-3.406
2018-09-22 7:30,13.04,888.1946,7.572,0.02,99.7,10.07,7.288,7.291,0.013,0.043,353,0.013,356.4,10.96,212.4,215.3,-3.567
2018-09-22 7:45,13.04,888.1946,7.534,0.029,99.8,10.05,7.27,7.263,0.04,0.1,101.4,0.04,262.7,9.52,212.4,215.3,-3.67
2018-09-22 8:00,13.03,888.1912,7.571,0.028,99.8,10.03,7.301,7.3,0.002,0.006,300.1,0.002,280.7,17.45,212.4,215.3,-3.532
2018-09-22 8:15,13.02,888.1436,7.568,0.013,99.8,10.01,7.264,7.266,0.011,0.039,110.8,0.011,4.082,0.014,212.4,215.3,-3.526
2018-09-22 8:30,13.03,888.1436,7.607,0.016,99.8,10,7.297,7.308,0.003,0.008,353.6,0.003,291.6,2.689,212.3,215.3,-3.522
2018-09-22 8:45,13.03,888.1436,7.601,0.042,99.8,9.98,7.096,7.136,0.14,0.313,303.9,0.14,344.2,31.69,212.4,215.3,-3.438
2018-09-22 9:00,13.02,888.1641,7.552,0.05,99.8,9.96,6.727,6.864,0.065,0.12,354.4,0.065,276.7,18.64,212.4,215.3,-3.482
2018-09-22 9:15,13.01,888.4512,7.428,0.095,99.8,9.95,6.504,6.637,0,0.002,265.4,0,299.2,0,212.5,215.3,-3.621
2018-09-22 9:30,13.02,888.4512,7.206,0.034,99.8,9.93,6.507,6.584,0,0,265,0,0,0,212.5,215.3,-3.57
2018-09-22 9:45,13.02,888.4512,7.083,0.063,99.9,9.91,6.659,6.682,0.021,0.058,313.5,0.021,313.6,0.127,212.5,215.3,-3.523
2018-09-22 10:00,13.01,888.4477,7.159,0.089,99.9,9.9,6.673,6.722,0.01,0.025,211.2,0.01,22.26,0.244,212.5,215.3,-3.573
2018-09-22 10:15,13,888.3982,7.012,0.036,99.9,9.88,6.049,6.207,0,0,211.1,0,0,0,212.6,215.3,-3.577
2018-09-22 10:30,13.01,888.3982,6.92,0.035,100,9.86,6.155,6.245,0,0,211.3,0,0,0,212.7,215.3,-3.552
2018-09-22 10:45,13.01,888.3982,6.984,0.048,100,9.85,6.4,6.424,0,0,211.3,0,0,0,212.6,215.3,-3.542
2018-09-22 11:00,13,888.4044,7.024,0.017,100,9.83,6.54,6.563,0,0,211.3,0,0,0,212.6,215.3,-3.512
2018-09-22 11:15,12.99,888.4909,6.946,0.049,100,9.81,6.359,6.408,0,0,211.3,0,0,0,212.6,215.3,-3.499
2018-09-22 11:30,13,888.4909,6.827,0.038,100,9.79,5.841,5.973,0,0,211.3,0,0,0,212.7,215.3,-3.586
2018-09-22 11:45,13.01,888.4909,6.4,0.139,100,9.77,4.964,5.255,0,0,210.9,0,0,0,212.9,215.4,-3.544
2018-09-22 12:00,12.99,888.4586,6.055,0.055,100,9.76,4.889,5.035,0,0,211.2,0,0,0,213,215.4,-3.541
2018-09-22 12:15,12.99,888.0056,5.947,0.073,100,9.74,5.21,5.32,0,0,211.1,0,0,0,213,215.4,-3.526
2018-09-22 12:30,13,888.0056,5.906,0.036,100,9.72,5.384,5.396,0,0,211.2,0,0,0,213,215.3,-3.531
2018-09-22 12:45,13,888.0056,5.928,0.023,100,9.7,5.58,5.567,0,0,211.1,0,0,0,213,215.3,-3.511
2018-09-22 13:00,12.99,887.9943,5.921,0.018,100,9.68,5.631,5.628,0,0,211,0,0,0,213,215.3,-3.529
2018-09-22 13:15,12.98,887.8365,5.799,0.067,100,9.66,5.258,5.296,0,0,211.2,0,0,0,213.1,215.3,-3.515
2018-09-22 13:30,12.99,887.8365,5.63,0.043,100,9.64,5.225,5.242,0,0,211.2,0,0,0,213.1,215.3,-3.526
2018-09-22 13:45,12.98,887.8365,5.678,0.048,100,9.62,5.639,5.6,0,0,211.2,0,0,0,213.1,215.3,-3.46
2018-09-22 14:00,12.98,887.8513,5.847,0.031,100,9.6,5.926,5.877,0,0,211,0,0,0,213,215.3,-3.461
2018-09-22 14:15,12.98,888.0583,6.027,0.047,100,9.58,6.152,6.091,0,0,211.3,0,0,0,212.9,215.2,-3.475
2018-09-22 14:30,13.01,888.0583,6.166,0.057,100,9.56,6.433,6.35,0.005,0.012,211.2,0.005,211.3,0,212.9,215.3,-3.452
2018-09-22 14:45,13.03,888.0583,6.238,0.04,100,9.55,6.473,6.39,0,0,210.9,0,0,0,212.9,215.3,-3.506
2018-09-22 15:00,13.06,888.0508,6.278,0.053,100,9.53,6.522,6.414,0.023,0.04,169.2,0.023,182.8,10.52,212.8,215.3,-3.49
2018-09-22 15:15,13.08,887.9462,6.436,0.049,100,9.51,6.857,6.726,0.057,0.099,20.36,0.057,16.85,49.19,212.8,215.3,-3.444
2018-09-22 15:30,13.12,887.9462,6.853,0.145,100,9.49,7.272,7.149,0.049,0.068,200.9,0.049,200.9,53.92,212.6,215.2,-3.356
2018-09-22 15:45,13.13,887.9462,6.898,0.038,100,9.48,7.279,7.16,0.041,0.064,80.5,0.041,311.1,63.4,212.6,215.2,-3.395
2018-09-22 16:00,13.16,887.9425,7.062,0.048,100,9.47,7.555,7.414,0.06,0.087,314.1,0.06,268.5,11.81,212.5,215.2,-3.42
2018-09-22 16:15,13.25,887.8911,7.242,0.052,100,9.46,7.955,7.785,0.064,0.091,312.6,0.064,269.7,19.05,212.4,215.2,-3.471
2018-09-22 16:30,13.4,887.8911,7.566,0.103,99.8,9.45,8.36,8.12,0.034,0.075,44.51,0.034,3.141,15.35,212.3,215.2,-3.269
2018-09-22 16:45,13.45,887.8911,7.796,0.111,99.8,9.44,8.57,8.32,0.036,0.063,279.2,0.036,357,29.06,212.2,215.2,-3.36
2018-09-22 17:00,13.4,887.8972,8.1,0.056,99.6,9.44,8.62,8.43,0,0,278.8,0,0,0,212,215.1,-3.337
2018-09-22 17:15,13.42,887.9825,8.31,0.129,99.4,9.44,8.8,8.63,0.214,0.224,41.5,0.214,48.69,29.7,212,215.2,-3.342
2018-09-22 17:30,14.45,887.9825,8.82,0.246,98.5,9.44,9.78,9.65,0.253,0.229,224.5,0.253,228,57.17,211.7,215.1,-3.49
2018-09-22 17:45,14.73,887.9825,9.42,0.202,96.4,9.45,10.24,10,0.244,0.32,25.95,0.244,231.6,73.85,211.5,215.1,-3.248
2018-09-22 18:00,14.49,887.9807,9.88,0.057,94.4,9.46,10.65,10.36,0.231,0.249,290.4,0.231,16.89,32.47,211.4,215.2,-3.383
2018-09-22 18:15,14.57,887.9543,9.94,0.03,94.9,9.48,10.18,9.96,0.056,0.135,284,0.056,276.4,33.66,211.4,215.2,-3.442
2018-09-22 18:30,14.74,887.9543,10.05,0.073,97.5,9.5,10.44,10.24,0.04,0.066,0.044,0.04,10.22,26.56,211.4,215.2,-3.486
2018-09-22 18:45,14.73,887.9543,10.17,0.104,96.3,9.52,10.85,10.61,0.02,0.051,286,0.02,279.2,2.491,211.3,215.2,-3.408
2018-09-22 19:00,14.7,887.9768,10.52,0.079,94.4,9.54,11.45,11.15,0.264,0.171,21.37,0.264,334.6,38.06,211.3,215.3,-3.527
2018-09-22 19:15,14.67,888.2923,10.66,0.133,95.2,9.57,11.61,11.34,0.139,0.179,324.5,0.139,359.5,60.27,211.2,215.3,-3.413
2018-09-22 19:30,14.24,888.2923,10.98,0.162,89.5,9.61,12.41,12.09,0.155,0.133,9.64,0.155,30.12,49.45,211.1,215.3,-3.594
2018-09-22 19:45,14.04,888.2923,11.22,0.073,86.4,9.64,11.95,11.69,0.022,0.068,315.6,0.022,2.696,17.86,211,215.3,-3.494
2018-09-22 20:00,14.02,888.2802,11.66,0.134,86.9,9.68,12.41,12.15,0.085,0.081,50.17,0.085,4.352,46.41,210.9,215.3,-3.648
2018-09-22 20:15,14.01,888.1107,11.94,0.15,86.3,9.73,12.66,12.47,0.065,0.065,138.3,0.065,47.56,52.18,211,215.5,-3.577
2018-09-22 20:30,14.01,888.1107,12.24,0.085,88.3,9.77,12.88,12.71,0.273,0.226,178.8,0.273,164.9,25.29,210.9,215.6,-3.986
2018-09-22 20:45,13.98,888.1107,12.84,0.418,79.82,9.83,14.25,14.19,0.524,0.404,178.6,0.524,175.5,58.31,210.7,215.6,-3.613
2018-09-22 21:00,13.93,888.0934,13.31,0.377,73.4,9.89,14.14,14.14,1.003,0.653,206,1.003,178.5,50.41,210.4,215.5,-3.819
2018-09-22 21:15,13.93,887.8511,13.55,0.221,74.92,9.95,14.45,14.57,1.397,0.429,184,1.397,200.4,15.89,210.5,215.7,-3.801
2018-09-22 21:30,13.93,887.8511,14.1,0.589,69.98,10.02,15.19,15.83,1.401,0.553,157.4,1.401,192.7,34.93,210.3,215.7,-3.701
2018-09-22 21:45,13.9,887.8511,13.88,0.862,76.03,10.09,14.01,14.45,1.451,0.579,239.3,1.451,195.5,33.96,210.8,216.1,-4.119
2018-09-22 22:00,13.81,887.8652,12.51,0.26,80.9,10.17,12.16,12.18,1.48,0.471,190.7,1.48,201.3,39.65,210.9,215.7,-3.739
2018-09-22 22:15,13.37,888.0616,11.54,0.304,91.2,10.25,10.95,10.86,0.853,0.338,167.8,0.853,196,25.02,210.9,215.3,-3.372
2018-09-22 22:30,13.52,888.0616,10.78,0.166,94.3,10.33,10.44,10.35,0.352,0.283,176.5,0.352,186.9,32.07,211.1,215.3,-3.841
2018-09-22 22:45,14.73,888.0616,10.46,0.062,91.3,10.42,10.92,10.67,0.232,0.203,205,0.232,165,41.06,211.2,215.2,-3.419
2018-09-22 23:00,14.73,888.0907,10.54,0.062,94.1,10.5,11.08,10.79,0.402,0.296,197.9,0.402,176,27.87,211.2,215.3,-3.488
2018-09-22 23:15,14.73,888.4981,10.55,0.117,89.6,10.58,10.77,10.53,0.334,0.231,186.8,0.334,195,28.94,211.2,215.3,-3.536
2018-09-22 23:30,14.73,888.4981,10.26,0.09,88.9,10.64,10.18,9.98,0.314,0.316,198.7,0.314,189.5,16.77,211.4,215.3,-3.54
2018-09-22 23:45,14.71,888.4981,10.05,0.105,88.6,10.7,9.92,9.74,0.168,0.26,32.82,0.168,172.3,47.75,211.4,215.3,-3.518
2018-09-23 0:00,14.16,888.5338,9.85,0.076,91.4,10.76,9.92,9.72,0.06,0.086,52.4,0.06,53.73,7.677,211.5,215.2,-3.457
2018-09-23 0:15,13.54,889.033,10.01,0.04,91.3,10.8,10.04,9.9,0.012,0.043,94.1,0.012,107.8,16.19,211.4,215.2,-3.5
2018-09-23 0:30,13.42,889.033,9.88,0.098,93.5,10.84,9.83,9.69,0.023,0.047,193,0.023,153.8,29.95,211.5,215.3,-3.469
2018-09-23 0:45,13.44,889.033,9.69,0.053,94,10.88,9.51,9.39,0.073,0.118,211.2,0.073,173.4,30.92,211.6,215.3,-3.55
2018-09-23 1:00,13.32,889.0416,9.48,0.087,96,10.91,9.17,9.07,0,0,128.6,0,0,0,211.7,215.3,-3.513
2018-09-23 1:15,13.22,889.1625,9.18,0.083,96.7,10.94,8.89,8.82,0.064,0.166,220.3,0.064,232.6,9.62,211.8,215.3,-3.438
2018-09-23 1:30,13.19,889.1625,9.04,0.062,96.8,10.96,8.7,8.64,0.019,0.039,94.2,0.019,226.2,10.04,211.8,215.3,-3.556
2018-09-23 1:45,13.17,889.1625,8.82,0.053,98.3,10.98,8.59,8.52,0.014,0.038,128.8,0.014,211.9,16.86,211.9,215.3,-3.514
2018-09-23 2:00,13.15,889.1614,8.67,0.06,98.1,11,8.3,8.24,0.007,0.021,207.4,0.007,44.78,5.89,212,215.3,-3.597
2018-09-23 2:15,13.14,889.1461,8.38,0.059,98.9,11.01,7.822,7.841,0.004,0.017,130,0.004,181.9,0,212.1,215.3,-3.552
2018-09-23 2:30,13.14,889.1461,8.12,0.117,99,11.01,7.407,7.447,0,0,130.6,0,0,0,212.2,215.4,-3.567
2018-09-23 2:45,13.14,889.1461,7.884,0.047,99.4,11.01,7.333,7.351,0.009,0.033,163.8,0.009,147.3,0,212.3,215.3,-3.545
2018-09-23 3:00,13.12,889.1832,7.935,0.052,99.4,11,7.558,7.538,0.055,0.144,256.2,0.055,223.4,13.06,212.2,215.3,-3.461
2018-09-23 3:15,13.11,889.7025,8.06,0.039,97.1,10.99,7.8,7.773,0.282,0.334,78.75,0.282,184.6,25.73,212.2,215.3,-3.482
2018-09-23 3:30,13.11,889.7025,8.16,0.026,96.9,10.98,7.694,7.669,0.303,0.173,212.3,0.303,191.3,22.57,212.2,215.3,-3.577
2018-09-23 3:45,13.11,889.7025,7.954,0.074,97.5,10.96,7.406,7.4,0.129,0.158,180.2,0.129,199.8,28.92,212.3,215.3,-3.48
2018-09-23 4:00,13.09,889.7098,7.767,0.036,97.2,10.94,7.289,7.277,0.051,0.088,21.67,0.051,175.6,64.5,212.3,215.3,-3.484
2018-09-23 4:15,13.09,889.8113,7.825,0.033,96.2,10.92,7.363,7.335,0.184,0.172,182,0.184,218.2,54.98,212.3,215.3,-3.578
2018-09-23 4:30,13.09,889.8113,7.678,0.045,97.6,10.9,7.338,7.3,0.163,0.143,216.1,0.163,211.5,19.08,212.3,215.3,-3.543
2018-09-23 4:45,13.09,889.8113,7.55,0.032,98.4,10.87,7.289,7.254,0.106,0.137,159.4,0.106,197.5,20.97,212.5,215.5,-3.696
2018-09-23 5:00,13.08,889.8204,7.457,0.023,98.5,10.84,7.236,7.194,0.187,0.232,204.3,0.187,185.9,18.81,212.6,215.5,-3.716
2018-09-23 5:15,13.07,889.9485,7.391,0.031,98.6,10.82,7.219,7.168,0.099,0.139,178.5,0.099,199.8,23.52,212.6,215.5,-3.749
2018-09-23 5:30,13.08,889.9485,7.343,0.026,98.6,10.79,7.151,7.111,0.089,0.085,179,0.089,194.4,23.82,212.8,215.6,-4.121
2018-09-23 5:45,13.08,889.9485,7.233,0.022,99.1,10.76,7.074,7.037,0.26,0.18,197.8,0.26,173.5,33.34,213,215.8,-4.141
2018-09-23 6:00,13.06,889.9415,7.207,0.016,99.2,10.73,7.105,7.067,0.122,0.164,154.2,0.122,151.7,36.59,213.1,215.9,-4.085
2018-09-23 6:15,13.06,889.8442,7.211,0.012,99.3,10.7,7.081,7.043,0.112,0.18,248.7,0.112,198.3,30,213.1,215.9,-4.124
2018-09-23 6:30,13.07,889.8442,7.216,0.015,99.3,10.67,7.103,7.065,0.183,0.172,216.7,0.183,195.6,23.22,213.2,216,-4.386
2018-09-23 6:45,13.07,889.8442,7.213,0.011,99.3,10.64,7.09,7.053,0.102,0.118,160.7,0.102,156.5,30.05,213.4,216.2,-4.407
2018-09-23 7:00,13.05,889.8466,7.271,0.02,99.2,10.61,7.116,7.08,0.071,0.109,73.36,0.071,155.8,33.72,213.3,216.1,-4.198
2018-09-23 7:15,13.04,889.8802,7.272,0.023,99.2,10.58,7.104,7.074,0.23,0.215,127.7,0.23,194.5,35.21,213.2,216,-4.209
2018-09-23 7:30,13.05,889.8802,7.227,0.016,99.1,10.55,6.981,6.963,0.132,0.161,156.7,0.132,196,22.57,213.3,216.1,-4.219
2018-09-23 7:45,13.06,889.8802,7.156,0.026,99,10.53,6.863,6.848,0.174,0.25,125.6,0.174,171,22.23,213.2,216,-4.133
2018-09-23 8:00,13.04,889.8625,7.095,0.02,98.8,10.5,6.685,6.682,0.194,0.192,159.8,0.194,212,19.82,213,215.8,-3.986
2018-09-23 8:15,13.03,889.6151,7.109,0.018,98.8,10.47,6.745,6.745,0.128,0.183,146.3,0.128,204.9,10.37,213,215.8,-3.922
2018-09-23 8:30,13.04,889.6151,6.971,0.074,99.2,10.44,6.541,6.544,0,0,146.6,0,0,0,212.9,215.6,-3.842
2018-09-23 8:45,13.05,889.6151,6.763,0.028,99.4,10.42,6.222,6.233,0.022,0.07,176.8,0.022,172.6,18.76,213,215.7,-3.845
2018-09-23 9:00,13.03,889.6125,6.764,0.02,99.4,10.39,6.342,6.376,0,0,64.4,0,0,0,213,215.6,-3.823
2018-09-23 9:15,13.02,889.5771,6.665,0.043,99.4,10.36,6.317,6.329,0.01,0.036,173,0.01,53.76,5.013,213,215.6,-3.826
2018-09-23 9:30,13.04,889.5771,6.584,0.03,99.5,10.34,6.224,6.21,0,0,115,0,0,0,213,215.5,-3.66
2018-09-23 9:45,13.04,889.5771,6.444,0.045,99.5,10.31,6.015,6.011,0.147,0.107,218.1,0.147,212.2,17.56,212.8,215.3,-3.523
2018-09-23 10:00,13.02,889.5652,6.272,0.059,99.6,10.28,5.459,5.598,0,0.001,51.1,0,61.88,0,212.9,215.3,-3.452
2018-09-23 10:15,13.02,889.3979,5.907,0.167,99.5,10.26,4.694,4.904,0,0,194.3,0,0,0,213,215.3,-3.493
2018-09-23 10:30,13.03,889.3979,5.722,0.069,99.8,10.23,4.04,4.463,0.041,0.095,45.98,0.041,43.04,3.195,213,215.2,-3.619
2018-09-23 10:45,13.03,889.3979,5.505,0.101,99.9,10.2,3.953,4.277,0,0,46.09,0,0,0,213,215.1,-3.228
2018-09-23 11:00,13.01,889.4156,5.268,0.186,99.8,10.18,3.845,4.107,0.001,0.003,179.1,0.001,179,0,213.1,215.1,-3.31
2018-09-23 11:15,13.01,889.6631,4.961,0.088,100,10.15,3.955,4.073,0.023,0.052,83.8,0.023,203.3,3.978,213.1,215.1,-3.368
2018-09-23 11:30,13.02,889.6631,4.896,0.06,100,10.12,4.188,4.262,0,0,204.7,0,0,0,213.1,215,-3.162
2018-09-23 11:45,13.02,889.6631,4.832,0.043,100,10.09,4.094,4.148,0,0,204.6,0,0,0,213.1,215,-3.147
2018-09-23 12:00,13.01,889.6664,4.679,0.102,100,10.06,3.743,3.825,0,0,204.7,0,0,0,213.2,215,-3.206
2018-09-23 12:15,13,889.7119,4.717,0.038,100,10.03,4.2,4.206,0,0,204.7,0,0,0,213.1,215,-3.103
2018-09-23 12:30,13.01,889.7119,5.174,0.237,100,9.99,5.072,5.03,0.214,0.236,8.9,0.214,32.04,48.93,212.9,214.9,-3.126
2018-09-23 12:45,13.01,889.7119,5.559,0.037,100,9.96,5.619,5.582,0.059,0.11,249.5,0.059,348,6.245,212.7,214.9,-3.133
2018-09-23 13:00,13,889.7169,5.683,0.023,100,9.92,5.745,5.705,0,0,249.2,0,0,0,212.7,214.9,-3.159
2018-09-23 13:15,12.99,889.787,5.685,0.036,100,9.89,5.731,5.688,0,0,249.4,0,0,0,212.7,214.9,-3.128
2018-09-23 13:30,13,889.787,5.77,0.019,100,9.85,5.808,5.759,0,0,249.4,0,0,0,212.7,215,-3.334
2018-09-23 13:45,13,889.787,5.823,0.024,100,9.82,5.799,5.757,0,0,249.4,0,0,0,212.8,215,-3.317
2018-09-23 14:00,12.99,889.7975,5.897,0.036,100,9.79,5.948,5.895,0,0,249.5,0,0,0,212.8,215,-3.321
2018-09-23 14:15,12.98,889.9454,6.016,0.042,100,9.76,6.099,6.042,0,0,248.9,0,0,0,212.8,215.1,-3.342
2018-09-23 14:30,13.01,889.9454,6.112,0.045,100,9.73,6.236,6.167,0,0,249,0,0,0,212.8,215.1,-3.408
2018-09-23 14:45,13.05,889.9454,6.244,0.075,100,9.71,6.448,6.347,0,0,172,0,0,0,212.8,215.2,-3.496
2018-09-23 15:00,13.11,889.9744,6.429,0.043,100,9.68,6.534,6.441,0.001,0.003,116.1,0.001,71.63,17.16,212.8,215.3,-3.462
2018-09-23 15:15,13.17,890.3796,6.649,0.052,99.9,9.66,6.846,6.755,0.002,0.007,60.18,0.002,60.18,0,212.7,215.3,-3.65
2018-09-23 15:30,13.22,890.3796,6.804,0.066,99.6,9.64,7.066,6.941,0.018,0.068,67.7,0.018,41.26,0,212.9,215.5,-3.817
2018-09-23 15:45,13.36,890.3796,7.15,0.129,98.6,9.62,7.568,7.422,0,0,68.06,0,0,0,212.8,215.6,-3.781
2018-09-23 16:00,14.17,890.3942,7.666,0.287,95.2,9.61,8.16,7.969,0.019,0.05,260.7,0.019,48.39,12.37,212.7,215.7,-4.031
2018-09-23 16:15,14.72,890.5973,9.15,0.328,89.8,9.59,9.54,9.34,0.598,0.477,206.9,0.598,170.5,47.63,212.6,216.1,-4.497
2018-09-23 16:30,14.69,890.5973,8.96,0.105,87.6,9.58,9.66,9.33,0.641,0.58,271.5,0.641,206.9,80.3,212.5,216,-4.235
2018-09-23 16:45,14.73,890.5973,8.63,0.077,89.4,9.58,9.04,8.75,0.435,0.293,188.1,0.435,153.2,35.98,212.5,215.8,-4.022
2018-09-23 17:00,14.73,890.6058,8.97,0.221,88.3,9.57,9.84,9.56,0.198,0.188,81.4,0.198,82.1,73.09,212.4,215.9,-4.246
2018-09-23 17:15,14.69,890.7266,9.71,0.672,79.17,9.57,11.28,11.46,0.359,0.21,181.3,0.359,139.8,74.79,212.3,216,-4.703
2018-09-23 17:30,14.57,890.7266,10.6,0.248,81.5,9.58,11.74,11.65,0.676,0.407,339.1,0.676,201.8,75.38,212.1,216.1,-3.973
2018-09-23 17:45,14.57,890.7266,10.71,0.216,77.35,9.59,12.25,12.06,0.704,0.349,183.2,0.704,178.1,43.49,212,216.1,-3.593
2018-09-23 18:00,14.28,890.7101,11.2,0.125,76.52,9.61,13.4,13.09,1.124,0.539,223.8,1.124,181.3,75.83,211.8,216.1,-4.677
2018-09-23 18:15,13.98,890.4799,11.05,0.291,77.36,9.64,13.04,12.16,1.338,0.556,156.9,1.338,206.6,45.41,211.9,216.1,-4.243
2018-09-23 18:30,14.01,890.4799,11,0.157,75.66,9.68,12.7,11.75,0.762,0.464,164.6,0.762,163.6,37.75,211.5,215.7,-3.829
2018-09-23 18:45,14.05,890.4799,10.84,0.084,75.3,9.72,12.41,11.5,0.962,0.431,163,0.962,171.7,51.83,211.4,215.6,-3.79
2018-09-23 19:00,14.05,890.4559,11.06,0.082,75.87,9.78,12.23,11.42,0.261,0.323,77,0.261,187,58.61,211.2,215.5,-3.686
